post_code,seq_key,fips,pub_seq,lib_code,name,addr,city,zip,zip4,phone,service_pop,num_main,num_branch,num_bookmobile,num_other,fte_lib_ms,fte_lib,fte_other,fte_tot,inc_local,inc_state,inc_fed,inc_other,inc_total,opx_sal,opx_ben,opx_tot_st,opx_tot_cl,opx_oth,opx_total,cap_outlay,col_books,col_audio,col_film,col_video,col_c_serial,pshours,attendance,reference_trans,circulation,ill_out,ill_in
NJ,0238,34,0238,1422,Morristown/Township Joint Public Library,1 Miller Road,Morristown,07960,5234,2015386161,36141,1,0,1,NA,14.2,14.2,16.3,30.5,890600,31557,22555,329625,1274337,656803,146649,803452,198593,242953,1244998,0,160577,3765,0,593,577,3442,260000,31720,216449,3178,1793
NJ,0239,34,0239,1423,Morris Plains Library,77 Glenbrook Road,Morris Plains,07950,2246,2015382599,5219,1,0,0,0,0,0,2.3,2.3,49000,2385,0,13297,64682,30428,0,30428,14192,21675,66295,0,19322,1891,0,52,68,1774,10764,1225,36242,153,659
NJ,0240,34,0240,1425,Mountain Lakes Free Public Library,3 Elm Road & Morris Avenue,Mountain Lakes,07046,1316,2013345095,3847,1,0,0,NA,0,0,4.4,4.4,70900,2800,0,29295,102995,49016,4202,53218,25842,25050,104110,5573,33450,1387,0,402,59,2381,20000,2600,38300,425,550
NJ,0241,34,0241,1426,Mount Arlington Public Library,404 Howard Blvd.,Mount Arlington,07856,1131,2013981516,3630,1,0,0,NA,0,0,3.8,3.8,87391,4777,0,1866,94034,48321,10185,58506,12803,22361,93670,0,15724,424,146,3,73,1904,8840,9731,16120,174,204
NJ,0242,34,0242,1427,Mount Olive Public Library,Wolfe Road,Lake Budd,07828,3899,2016918686,21282,1,0,0,NA,2,2,7.2,9.2,401991,24034,0,31238,457263,178198,55668,233866,93544,55827,383237,0,46518,763,0,841,441,3145,170214,5341,142427,1351,1652
NJ,0243,34,0243,1429,Parsippany-Troy Hills Library,Box 5303,Parsippany,07054,0597,2018878907,48478,1,2,0,NA,7.3,7.3,22.8,30.1,1340631,59008,0,81432,1481071,721536,176565,898101,206970,252369,1357440,46985,200517,10873,0,1012,352,8084,290979,68328,365303,1352,1369
NJ,0244,34,0244,1430,Passaic Township Public Library,91 Central Avenue,Sterling,07980,1203,9086472088,7826,1,0,0,NA,1,1,2.9,3.9,184650,11141,0,14377,210168,114537,4138,118675,54252,33266,206193,0,35380,463,0,944,144,2914,15000,3250,53183,239,763
NJ,0245,34,0245,1431,Pequannock Township Public Library,530 Turnpike,Pompton Plains,07444,1744,2018357460,12844,1,0,0,NA,3.3,3.3,9.7,13,401100,18447,0,30636,450183,254552,68823,323375,74630,50606,448611,4543,66023,2089,9,457,250,3063,75400,5304,144723,817,1031
NJ,0246,34,0246,1432,Randolph Township Public Library,28 Calais Road,Randolph,07869,3607,2018953556,19974,1,0,0,NA,2.7,2.7,9,11.7,452352,23001,0,25125,500478,196396,65032,261428,108992,126613,497033,0,63318,2820,0,300,445,3082,108000,7565,177860,884,467
NJ,0247,34,0247,1434,Rockaway Public Library,82 E. Main Street,Rockaway,07866,3518,2016275709,6243,1,0,0,0,0,0,3.1,3.1,73554,4312,0,135,78001,48306,6571,54877,9875,13103,77855,0,22296,631,0,15,81,2876,NA,NA,12191,117,90
NJ,0248,34,0248,1435,Rockaway Township Public Library,61 Mount Hope Road,Rockaway,07866,1634,2016272344,19572,1,1,0,NA,3.4,3.4,14.7,18.1,562246,26773,0,35385,624404,284095,88128,372223,96712,131173,600108,0,82703,4098,0,179,198,4184,110000,16000,255487,1298,1825
NJ,0249,34,0249,1436,Roxbury Township Public Library,103 Main Street,Succasunna,07876,1417,2015842400,20429,1,0,0,NA,3.5,3.5,8.2,11.7,609704,25459,0,0,635163,294354,110463,404817,111525,96444,612786,0,62955,1834,0,526,166,3224,126509,16120,164387,1107,2266
NJ,0250,34,0250,1438,Washington Township Public Library,146 Schooleys Mountain Road,Long Valley,07853,9303,9088763596,15592,1,0,0,NA,2,2,5.8,7.8,297513,13210,0,19876,330599,160671,40765,201436,45557,35879,282872,336,26132,1031,0,417,101,3013,54562,3857,90781,279,1832
NJ,0251,34,0251,1439,Wharton Public Library,15 S. Main Street,Wharton,07885,1911,2013611333,5405,1,0,0,NA,0.3,0.3,2.9,3.2,99155,6164,0,450,105769,40836,11035,51871,11836,40747,104454,0,24804,757,0,8,63,1811,25852,6500,16894,241,544
NJ,0252,34,0252,1500,Ocean County Library,101 Washington St.,Toms River,08753,7625,9083496200,386680,1,15,2,NA,65.8,65.8,170.5,236.3,8192548,363380,2256,358092,8916276,4536179,1456567,5992746,1258409,2129850,9381005,2813433,628241,31527,312,7252,2004,39445,1559931,243229,2218221,4119,4291
NJ,0253,34,0253,1504,Beach Haven Public Library,Third & Beach Avenues,Beach Haven,08008,1788,2014927081,1475,1,0,0,0,0,0,2.6,2.6,49092,771,0,2858,52721,27324,5682,33006,8697,10784,52487,0,22493,0,0,0,48,1800,4500,650,23427,2,49
NJ,0254,34,0254,1515,Lakewood Public Library,Second Street & Monmouth Avenue,Lakewood,08701,3206,9083631435,45048,1,0,0,NA,6,6,17.8,23.8,843276,57696,27373,26637,954982,485748,193397,679145,131573,103803,914521,0,108338,4542,0,1023,349,3046,132827,12883,176941,262,619
NJ,0255,34,0255,1601,Bloomingdale Public Library,101 Hamburg Turnpike,Bloomingdale,07403,1236,2018380077,7530,1,0,0,NA,1,1,3.4,4.4,142292,7073,0,3490,152855,82332,27886,110218,16168,21757,148143,0,27617,375,0,28,74,2624,17940,2860,32922,36,60
NJ,0256,34,0256,1602,Clifton Public Library,292 Piaget Avenue,Clifton,07011,2521,2017725500,71742,1,1,0,NA,9,9,18,27,1926894,140485,0,55000,2122379,1019545,270000,1289545,234401,274911,1798857,2114537,160634,2214,169,1112,637,6256,311773,42022,336892,2269,870
NJ,0257,34,0257,1603,Haledon Free Public Library,404 Morrissee Avenue,Haledon,07508,1314,2017903808,6951,1,0,0,NA,0,0,3.4,3.4,124232,5940,0,3392,133564,57276,8423,65699,33239,23456,122394,0,14786,936,0,432,94,1707,10608,960,21332,0,18
NJ,0258,34,0258,1604,Louis Bay 2nd Library,345 Lafayette Avenue,Hawthorne,07506,2505,2014275745,17084,1,0,0,NA,2.8,2.8,8.9,11.7,447441,16363,0,14642,478446,211785,74217,286002,86862,105672,478536,44003,68532,1916,0,1000,180,2512,35660,6360,99809,68,135
NJ,0259,34,0259,1605,Little Falls Public Library,8 Warren Street,Little Falls,07424,2230,2012562784,11294,1,0,0,NA,1,1,7.1,8.1,255010,10336,0,14153,279499,122961,25601,148562,57689,75746,281997,0,41180,932,0,211,186,2655,69212,3900,65334,17,353
NJ,0260,34,0260,1606,North Haledon Public Library,129 Overlook Avenue,North Haledon,07508,2533,2014276213,7987,1,0,0,NA,2,2,3.8,5.8,190863,9190,0,19587,219640,127168,32803,159971,26296,33343,219610,0,34985,806,0,572,64,1768,14810,2975,68447,14,75
NJ,0261,34,0261,1607,Passaic Public Library,195 Gregory Avenue,Passaic,07055,4805,2017790474,58041,1,3,1,NA,6,6,21.7,27.7,928926,70752,0,22203,1021881,651789,147907,799696,106969,104373,1011038,0,140956,4270,121,316,409,8980,174489,32950,161559,1,329
NJ,0262,34,0262,1608,Paterson Free Public Library,250 Broadway,Paterson,07501,2032,2018817038,140891,1,7,0,NA,6,6,45,51,1513716,256317,0,12132,1782165,909816,409734,1319550,200190,351965,1871705,36092,348651,9125,340,86,536,15450,137401,14560,130333,0,432
NJ,0263,34,0263,1609,Emanuel Einstein Public Library,333 Wanaque Avenue,Pompton Lakes,07442,1826,2018350482,10539,1,0,0,NA,1,1,5.6,6.6,213610,9584,0,7177,230371,120101,27263,147364,23456,53335,224155,0,36454,948,0,0,94,2393,18044,2444,35240,9,79
NJ,0264,34,0264,1611,Ringwood Public Library,145 Skylands Road,Ringwood,07456,2203,2019626256,12623,1,0,0,NA,1.6,1.6,5.2,6.8,214163,8513,0,17948,240624,130965,23393,154358,37362,52739,244459,0,30789,2222,0,61,128,2594,35662,19319,54627,52,894
NJ,0265,34,0265,1612,Dwight D. Eisenhower Library,537 Totowa Road,Totowa Boro,07512,2069,2017903265,10177,1,0,0,NA,1,1,5.9,6.9,288966,7719,0,10352,307037,105329,39423,144752,49761,87237,281750,0,41363,886,0,182,91,2240,20012,5456,32280,23,83
NJ,0266,34,0266,1613,Wanaque Public Library,616 Ringwood Avenue,Wanaque,07465,2012,2018394434,9711,1,0,0,NA,1,1,6.2,7.2,188349,11266,0,16954,216569,105603,30030,135633,28899,27449,191981,0,26455,417,0,416,89,2686,31369,12000,54339,14,235
NJ,0267,34,0267,1614,Wayne Public Library,475 Valley Road,Wayne,07470,3532,2016944272,47025,1,2,1,NA,10,10,33.2,43.2,1558827,145053,4313,64944,1773137,883705,285900,1169605,267988,344996,1782589,111531,234984,14755,89,2168,442,8408,125050,38994,347518,142,78
NJ,0268,34,0268,1615,West Milford Township Library,Union Valley Road,West Milford,07480,1303,2017282820,25430,1,0,0,NA,2.9,2.9,5.6,8.5,331334,15027,0,17150,363511,174545,65790,240335,71369,46889,358593,0,25996,703,0,371,120,2600,81429,11086,111778,69,1052
NJ,0269,34,0269,1616,West Paterson Public Library,863 McBride Avenue,West Paterson,07424,2799,2013458120,10982,1,0,0,NA,0.7,0.7,4.5,5.2,245362,7107,0,3525,255994,68150,11863,80013,36673,136663,253349,0,28088,671,0,107,107,2317,32084,20904,28702,0,69
NJ,0271,34,0271,1708,Penns Grove-Carneys Point Library,S. Broad St.,Penns Grove,08069,1696,6092994255,13671,1,0,0,NA,1,1,2.2,3.2,7750,5259,0,57739,70748,22326,0,22326,12876,11173,46375,0,40292,35,0,222,55,1926,18225,3120,42767,15,310
NJ,0272,34,0272,1709,Pennsville Public Library,190 S. Broadway,Pennsville,08070,2220,6096785473,13794,1,0,1,NA,0.4,0.4,4,4.4,131572,6536,0,27345,165453,87097,8503,95600,24840,20822,141262,0,43433,842,135,298,129,4067,29777,338,42684,1153,383
NJ,0273,34,0273,1713,Salem Free Public Library,112 W. Broadway,Salem,08079,1302,6099350526,6883,1,0,1,NA,1.5,1.5,5,6.5,86000,10885,0,37813,134698,73051,16453,89504,23421,23142,136067,0,54560,1328,435,107,317,3003,6103,4051,34848,120,561
NJ,0274,34,0274,1715,Woodstown-Pilesgrove Library,14 Schools Lane,Woodstown,08098,1331,6097690098,6404,1,0,0,NA,0.5,0.5,0,0.5,9700,1635,0,20144,31479,4992,456,5448,10622,13146,29216,0,27162,0,0,0,46,1512,5200,300,20950,0,189
NJ,0275,34,0275,1800,Somerset County Library,P.O. Box 6700,Bridgewater,08807,0700,9085264016,124291,1,8,0,NA,33.5,33.5,68.1,101.6,3179476,152378,0,266506,3598360,2186210,455196,2641406,645807,821995,4109208,0,494752,32390,287,6629,2125,19655,631225,6734,976601,9640,4728
NJ,0276,34,0276,1801,Clarence Dillon Public Library,P.O. Box 82,Bedminster,07921,0082,9082342325,7743,1,0,0,0,1,1,5.2,6.2,218607,1568,0,28328,248503,92886,13544,106430,56151,35790,198371,33743,44175,1184,0,382,144,2763,39065,2351,55260,67,422
NJ,0277,34,0277,1802,Bernards Township Library,32 S. Maple Avenue,Basking Ridge,07920,1216,9082043031,17194,1,0,0,NA,4.9,4.9,11.9,16.8,819919,15250,0,1450,836619,452705,150847,603552,103448,89290,796290,374732,88143,3583,0,280,306,2969,164892,11734,170268,633,616
NJ,0278,34,0278,1803,Bernardsville Library,2 Morristown Road,Bernardsville,07924,2316,9087660118,6597,1,0,0,NA,1,1,6.4,7.4,319806,6037,0,44308,370151,173682,29436,203118,88280,58539,349937,5307,69985,2247,0,1019,220,2955,116465,8813,104097,723,182
NJ,0279,34,0279,1804,Bound Brook Public Library,402 E. High Street,Bound Brook,08805,2007,9083560043,9487,1,0,0,NA,4.5,4.5,5.8,10.3,320947,13095,0,36736,370778,204505,42568,247073,45968,26770,319811,5230,71543,2054,0,133,178,2925,62400,8372,70421,62,674
NJ,0280,34,0280,1808,Franklin Twp Free Public Library,485 DeMott Lane,Somerset,08873,2709,9088738700,42780,1,0,0,NA,5.1,5.1,15.3,20.4,714780,21145,5000,111136,852061,415927,85947,501874,176792,190421,869087,0,87728,4271,0,2319,726,3094,175576,14784,239786,638,194
NJ,0281,34,0281,1811,Manville Public Library,100 S. 10th Avenue,Manville,08835,1730,9087229722,10567,1,0,0,NA,1,1,5.3,6.3,186517,12675,0,1753,200945,87270,26002,113272,23937,53581,190790,0,72080,561,250,190,107,2190,19968,3200,64643,130,20
NJ,0282,34,0282,1816,Raritan Public Library,54 E. Somerset St.,Raritan,08869,2113,9087250413,5798,1,0,0,NA,1,1,4,5,136227,6348,0,7597,150172,68904,16136,85040,23672,22553,131265,4054,28649,616,0,314,105,2296,52500,3500,34828,0,119
NJ,0283,34,0283,1818,Somerville Public Library,35 West End Avenue,Somerville,08876,1808,9087251336,11632,1,0,0,NA,4,4,5,9,314575,17960,19868,0,352403,179466,48820,228286,47574,73009,348869,12900,55871,959,0,253,151,2803,79645,5356,48709,14,448
NJ,0284,34,0284,1900,Sussex County Library,"Box 76, R.D. 3",Newton,07860,9598,2019483660,106299,1,5,2,NA,11.5,11.5,46.7,58.2,1595664,96433,27307,119398,1838802,1208366,424149,1632515,324802,263283,2220600,68000,288296,7169,35,2847,884,17160,400203,28091,651584,3888,3708
NJ,0285,34,0285,1918,Sparta Public Library,22 Woodport Road,Sparta,07871,2420,2017293101,15157,1,0,0,NA,2.6,2.6,7.6,10.2,389036,13333,0,17511,419880,192711,47578,240289,100684,53692,394665,10815,69888,4243,0,590,339,2986,99940,9276,161173,9,717
NJ,0286,34,0286,2001,Berkeley Heights Public Library,290 Plainfield Avenue,Berkeley Heights,07922,1438,9084649333,11980,1,0,0,NA,4,4,8.9,12.9,514954,15950,0,28185,559089,297010,107523,404533,78906,70766,554205,14494,79239,2100,0,504,220,3302,175760,11752,155288,553,1603
NJ,0287,34,0287,2002,Clark Public Library,303 Westfield Avenue,Clark,07066,1704,9083885999,14629,1,0,0,NA,3,3,6,9,322365,18475,0,21005,361845,193438,54286,247724,47550,56598,351872,19381,59343,1499,0,88,184,2568,53808,8740,64706,0,609
NJ,0288,34,0288,2003,Cranford Public Library,"224 Walnut Avenue, Box 400",Cranford,07016,2931,9087097272,22363,1,0,0,NA,5.4,5.4,13.4,18.8,602832,36816,0,34234,673882,344797,120812,465609,97105,76274,638988,11588,95225,7295,0,414,201,2922,155000,29580,225388,0,1013
NJ,0289,34,0289,2004,Elizabeth Public Library,11 S. Broad St.,Elizabeth,07202,3401,9083546060,110002,1,1,1,NA,19,19,26,45,2008000,159302,14545,63094,2244941,1288272,457423,1745695,154079,417053,2316827,0,409353,17000,410,2500,647,7110,58075,34453,183067,4836,195
NJ,0290,34,0290,2005,Fanwood Memorial Library,14 Tillotson Road,Fanwood,07023,1399,9083226400,7115,1,0,0,NA,1,1,5.4,6.4,230065,8724,0,6865,245654,123196,25456,148652,50758,44243,243653,27610,37932,996,0,100,71,2966,30576,2184,64789,0,83
NJ,0291,34,0291,2006,Garwood Public Library,Franklin School & Walnut Avenue,Garwood,07027,,9087891670,4227,1,0,0,NA,0,0,2,2,66858,2135,0,0,68993,24942,8997,33939,16805,10936,61680,0,25171,148,0,4,56,1733,9293,989,9238,0,5
NJ,0292,34,0292,2007,Hillside Public Library,John F. Kennedy Plaza,Hillside,07205,1893,2019234413,21044,1,0,0,NA,4.3,4.3,9.6,13.9,496810,24095,0,29500,550405,338428,86149,424577,33785,107605,565967,58299,97586,2471,0,603,148,2512,50362,6565,91693,0,255
NJ,0293,34,0293,2008,Kenilworth Public Library,548 Boulevard,Kenilworth,07033,1655,9082762451,7574,1,0,0,NA,1,1,6.1,7.1,187992,5543,0,6358,199893,99515,16265,115780,39207,40574,195561,0,33548,1286,0,304,106,2517,37802,5189,38037,0,376
NJ,0294,34,0294,2009,Linden Public Library,31 E. Henry St.,Linden,07036,2901,9082983830,36701,1,2,0,NA,9.5,9.5,23.3,32.8,1329732,49929,0,40208,1419869,892786,259743,1152529,118065,158865,1429459,0,163913,6029,125,803,411,7128,137200,32640,166984,1526,673
NJ,0295,34,0295,2010,Mountainside Public Library,Constitution Plaza,Mountainside,07092,,9082330115,6657,1,0,0,NA,2.5,2.5,3.8,6.3,274736,6396,0,13641,294773,117767,26884,144651,45195,69965,259811,0,51939,5282,0,191,85,2804,33000,4906,38387,20,300
NJ,0296,34,0296,2011,New Providence Memorial Library,377 Elkwood Avenue,New Providence,07974,1837,9086650311,11439,1,0,0,NA,3.2,3.2,7.4,10.6,397255,13436,0,13675,424366,217081,58027,275108,57255,64716,397079,0,77071,5024,396,84,249,3151,72491,16296,113085,8,179
NJ,0297,34,0297,2012,Plainfield Public Library,850 Park Avenue,Plainfield,07060,2594,9087571111,46567,1,0,0,NA,8.2,8.2,9.5,17.7,783268,104488,0,133951,1021707,563414,119768,683182,138934,206302,1028418,7392,318639,2665,1386,973,587,3058,194428,32702,105723,2088,419
NJ,0298,34,0298,2013,Rahway Public Library,1175 St. Georges Avenue,Rahway,07065,2631,9083880761,25325,1,0,0,NA,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NJ,0299,34,0299,2014,Roselle Public Library,Chestnut St. & Fourth Avenue,Roselle,07203,2083,9082455809,20314,1,0,0,NA,2,2,9,11,281282,25801,0,23042,330125,178865,22718,201583,44001,30539,276123,0,53599,654,1,470,102,3048,64492,3057,66339,123,419
NJ,0300,34,0300,2015,Roselle Park Veterans Memorial Library,404 Chestnut Street,Roselle Park,07204,1902,9082452456,12805,1,0,0,NA,1,1,6,7,282139,15034,0,18987,316160,138473,24868,163341,38801,85746,287888,42174,50455,1945,0,179,137,2458,54548,4940,50569,5,177
NJ,0301,34,0301,2016,Scotch Plains Public Library,1927 Bartle Avenue,Scotch Plains,07076,1212,9083225007,21160,1,0,0,NA,2,2,15.4,17.4,521779,18677,0,0,540456,293275,164244,457519,32883,39758,530160,0,92487,1857,0,628,179,3208,97916,16908,122058,2,456
NJ,0302,34,0302,2017,Springfield Public Library,66 Mountain Avenue,Springfield,07081,1730,2013764930,13420,1,0,0,NA,5.5,5.5,8.6,14.1,490000,19800,0,23779,533579,289937,68899,358836,70797,103976,533609,0,82328,5563,1,286,246,2679,96186,29425,133164,0,480
NJ,0303,34,0303,2018,Summit Public Library,75 Maple Street,Summit,07901,2504,9082730350,19757,1,0,0,NA,8.2,8.2,10.8,19,879300,27632,0,63916,970848,495251,117467,612718,138196,152547,903461,159418,104899,4466,0,512,302,3236,307500,52425,254957,130,623
NJ,0304,34,0304,2019,Union Township Public Library,Friberger Park,Union,07083,,9086860420,50024,1,1,0,NA,8.5,8.5,27.9,36.4,1228398,46119,0,60718,1335235,762429,284775,1047204,141139,237719,1426062,0,143211,722,0,2249,265,4878,160620,8632,206311,124,1000
NJ,0305,34,0305,2020,Westfield Memorial Library,550 E. Broad Street,Westfield,07090,2123,9087894090,28870,1,0,0,NA,7.8,7.8,15.9,23.7,808350,42327,0,82350,933027,459230,105055,564285,133325,203159,900769,0,114557,1513,116,474,268,3004,242000,16406,300885,0,801
NJ,0306,34,0306,2100,Warren County Library,Court House Annex,Belvidere,07823,1591,9084756322,56057,1,1,1,NA,6,6,24.1,30.1,1277850,47438,0,11653,1336941,613930,208379,822309,184031,351413,1357753,0,117111,680,0,857,269,6500,67585,6755,189278,48,1957
NJ,0307,34,0307,2102,William H. Walters Free Library,1001 East Boulevard,Alpha,08865,4418,9084541445,2530,1,0,0,0,0,0,0.7,0.7,38327,951,0,0,39278,7370,534,7904,3822,4609,16335,0,15455,0,0,0,24,2295,4036,260,4586,0,5
NJ,0308,34,0308,2103,Belvidere Free Public Library,301 Second St.,Belvidere,07823,1517,9084753941,2669,1,0,0,NA,0,0,2,2,50164,2503,0,752,53419,19929,1744,21673,10696,15469,47838,0,12363,668,0,4,15,1508,3322,78,4568,0,163
NJ,0309,34,0309,2104,Catherine Dickson Hofmann Library,P.O. Box 433,Blairstown,07825,0433,9083628335,5331,1,0,0,0,0,0,2.8,2.8,10000,148,0,49628,59776,20557,1576,22133,7526,8911,38570,0,18593,350,0,75,14,2113,18203,1820,30470,0,332
NJ,0310,34,0310,2108,Hackettstown Public Library,110 Church Street,Hackettstown,07840,2206,9088524936,8120,1,0,0,NA,1,1,5,6,198005,9940,0,12553,220498,105176,36795,141971,53871,19536,215378,0,45742,1431,0,547,160,2890,68948,4692,77639,17,1160
NJ,0312,34,0312,2119,Phillipsburg Public Library,200 Frost Avenue,Phillipsburg,08865,1625,9084543712,15757,1,0,0,NA,6.5,6.5,9.5,16,397930,71925,34136,206003,709994,309436,81000,390436,152887,102748,646071,0,73145,1609,166,323,382,2980,90000,10832,119141,1631,826
NJ,0313,34,0313,2121,Washington Public Library,20 W. Carlton Avenue,Washington,07882,1202,9086890201,6474,1,0,0,NA,1,1,4.4,5.4,154461,8670,0,7991,171122,89584,16827,106411,16694,26331,149436,4071,40790,1223,36,211,127,2791,25800,250,60992,2,576
NJ,0103,34,0103,0515,Wildwood Crest Boro Library,6301 Ocean Avenue,Wildwood,08260,4111,,3631,1,1,0,0,0,0,-1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NJ,0107,34,0107,0609,Maurice River Township Public Library,Broadway,Port Elizabeth,08348,,,6648,1,0,0,NA,-1,-1,-1,-1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NJ,0150,34,0150,0907,Kearny Public Library,318 Kearny Avenue,Kearny,07032,2505,2019982666,34874,1,1,0,NA,3,3,15.5,18.5,699804,44469,0,55045,799318,462836,113533,576369,77977,79894,734240,6478,66212,751,4,1012,150,3912,58688,7829,89318,10,169
NJ,0155,34,0155,0912,West New York Public Library,425 60th St.,West New York,07093,2241,2018541028,38125,1,0,0,NA,4,4,8.9,12.9,408086,44093,0,6300,458479,275259,51746,327005,52745,122928,502678,0,61059,1109,1,388,125,2628,33072,12441,43316,110,97
NJ,0203,34,0203,1312,Eatontown Public Library,White Street,Eatontown,07724,1594,9083892665,13800,1,0,0,NA,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NJ,0218,34,0218,1349,Tinton Falls Public Library,664 Tinton Avenue,Tinton Falls,07724,3275,9085243110,12366,1,0,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NJ,0270,34,0270,1703,Elmer Public Library,116 S. Main St.,Elmer,08318,2233,6093582014,1571,1,0,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,0
NJ,0311,34,0311,2117,Oxford Public Library,Washington Avenue,Oxford,07863,,9084532625,1790,1,0,0,NA,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
NM,0001,35,0001,NM0001,Alamogordo Public Library,920 Oregon Avenue,Alamogordo,88310,5865,5054379058,27596,1,0,0,0,1,3,6,9,296280,18177,0,12964,327421,170571,46291,216862,46857,63702,327421,2056,92797,1602,0,275,233,2808,197600,2964,163583,584,713
NM,0002,35,0002,NM0002,Albuquerque Public Library,501 Copper NW,Albuquerque,87102,3149,5057685100,480577,1,12,0,0,40,43,94.5,137.5,6706462,507351,29075,64946,7307834,2980595,836976,3817571,1286000,1360374,6463945,0,821840,0,0,0,1525,25818,419328,504504,2756342,1429,2564
NM,0003,35,0003,NM0003,Artesia Public Library,306 W. Richardson,Artesia,88210,2499,5057464252,11620,1,0,0,0,1,2,4.5,6.5,195760,7632,0,3207,206599,122496,26139,148635,27712,22448,198795,0,47991,1356,542,152,151,2340,NA,NA,58136,441,654
NM,0004,35,0004,NM0004,Altrurian Public Library,201 W. Chaco,Aztec,87410,1966,5053349456,7360,1,0,0,0,0,1,1,2,49505,4433,0,220,54158,24120,3758,27878,18286,7421,53585,1736,19230,303,0,0,37,1976,NA,NA,25863,0,105
NM,0005,35,0005,NM0005,Belen Public Library,333 Becker Ave.,Belen,87002,4337,5058647797,6530,1,0,0,0,1,4.38,1.73,6.1,109781,5609,20000,1814,137204,80119,11010,91129,9178,12124,112431,1933,59667,1889,1,39,108,2288,59124,1300,56335,72,463
NM,0006,35,0006,NM0006,Martha Liebert Library,901 Camino del Pueblo,Bernalillo,87004,0638,5058672309,3610,1,0,0,0,0,2,2,4,44178,4871,5000,1000,55049,43988,5800,49788,11514,5176,66478,0,22280,15,0,217,6,2080,NA,312,18022,0,120
NM,0007,35,0007,NM0007,Carlsbad Public Library,101 S. Halagueno St.,Carlsbad,88220,5726,5058856776,27850,1,0,0,0,1,4,8.8,12.8,374023,18660,0,13681,406364,282309,0,282309,52009,83378,417696,7022,56468,543,0,40,225,3224,NA,5512,167078,2,149
NM,0008,35,0008,NM0008,Eleanor Daggett Memorial Library,4th and Maple,Chama,87520,0786,5057562388,1110,1,0,0,0,0,0,1.75,1.75,18472,2730,0,0,21202,13206,3074,16280,3773,1148,21201,0,7773,0,0,0,20,1820,5616,676,12246,0,246
NM,0009,35,0009,NM0009,Albert W. Thompson Memorial Library,17 Chestnut St.,Clayton,88415,3523,5053749423,3340,1,0,0,0,0,0.68,0.58,1.25,27418,1025,0,12195,40638,14850,4892,19742,7530,4979,32251,0,16219,413,143,0,443,1404,NA,NA,13922,1,353
NM,0010,35,0010,NM0010,Clovis-Carver Public Library,4th and Mitchell St.,Clovis,88101,7496,5057691973,33780,1,0,0,0,0,3,9.6,12.6,301300,3493,0,17402,322195,182002,31226,213228,70402,39461,323091,0,61196,2215,52,590,102,2548,95264,12012,173291,799,821
NM,0011,35,0011,NM0011,Deming Public Library,301 South Tin,Deming,88030,3698,5055469202,11330,1,0,0,0,1,3,3.92,6.92,169000,2378,0,26896,198274,84436,19920,104356,24400,25562,154318,30104,37661,343,0,68,93,2860,78624,12636,214414,5,385
NM,0012,35,0012,NM0012,Espanola Public Library,314-A Onate St. NW,Espanola,87532,2621,5057533860,7900,1,0,0,0,1,1,3,4,99544,14110,0,0,113654,54793,13831,68624,21347,5944,95915,0,29985,157,138,38,64,2340,NA,NA,35346,0,362
NM,0013,35,0013,NM0013,Eunice Public Library,P.O. Box 1629,Eunice,88231,1629,5053942336,3240,1,0,0,0,0,1,1.3,2.3,59085,6064,0,200,65349,30777,5524,36301,14401,14647,65349,0,21053,426,37,445,48,2080,14560,NA,21741,0,87
NM,0014,35,0014,NM0014,Farmington Public Library,100 West Broadway,Farmington,87401,6420,5053277701,39050,1,1,0,0,1,3,16.8,19.8,614459,15769,0,16763,646991,221014,42561,263575,131836,82048,477459,67000,128042,1303,0,0,201,4992,NA,NA,282117,1248,1382
NM,0015,35,0015,NM0015,Fort Sumner Public Library,North 7th Street,Fort Sumner,88119,0126,5053552832,1350,1,0,0,0,0,0.7,0,0.7,10497,4297,10619,1881,27294,6498,3069,9567,4795,0,14362,8069,9915,205,0,113,23,1352,6448,364,11856,0,134
NM,0016,35,0016,NM0016,Gallup Public Library,115 W. Hill Ave.,Gallup,87301,6297,5058633692,22470,1,0,0,0,2,2,5.5,7.5,304985,28618,16615,10743,360961,150520,43493,194013,114518,87267,395798,9013,117436,5215,496,472,175,3224,57980,2600,149433,0,100
